avg_M(10),1.4104046242774566,1.5957446808510638
avg_M(12),1.3942857142857144,1.5957446808510638
avg_M(4),1.4651162790697674,1.625
avg_M(6),1.4540229885057472,1.5555555555555556
avg_M(8),1.3966480446927374,1.631578947368421
M6,1.3051470588235294,1.9338842975206612
M5,1.4285714285714286,1.7777777777777777
M4,1.4516129032258065,1.832167832167832
M3,1.3428571428571427,1.6293706293706294
M2,1.3824561403508773,1.4625
M1,1.550561797752809,1.8356164383561644
avg_F(10),1.4497041420118344,1.8488372093023255
avg_F(12),1.467455621301775,1.8181818181818181
avg_F(2),1.4817073170731707,1.793103448275862
avg_F(4),1.4709302325581395,1.75
avg_F(6),1.5872093023255813,2.102272727272727
avg_F(8),1.464705882352941,1.8620689655172413
P1,1.5731707317073171,1.9318181818181819
P2,1.5757575757575757,2.2248062015503876
P3,1.5592592592592593,1.9236111111111112
P4,1.3381818181818181,1.8527131782945736
P5,1.576,1.9402985074626866
P6,1.5113636363636365,1.625
alpha_fem,1.425,1.7142857142857142
alpha_male,1.5277777777777777,1.894736842105263
